created_at,tweet_favorite_count,tweet_id,tweet_retweet_count,tweet_text,user_tweet_count,user_follower_count,user_following_count
15/9/16 5:36,0,7.76E+17,0,"#TasteTheFeeling of falling for the one with a Coca-Cola. #IWorkatCokehttps://t.co/cZjpGlbvNi https://t.co/7qnUUcqgRP",48,16,56
15/9/16 5:36,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",45,15,86
15/9/16 5:30,0,7.76E+17,11,RT @CocaColaPH: @BaiLona_Pexers Thanks for supporting Bailey for COKE! #TasteTheFeeling of refreshment while playing video games with your‰Û_,14645,228,201
15/9/16 5:09,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,639,151,443
15/9/16 4:25,0,7.76E+17,0,It's a Good morning.wonderful throwback Thursday powered by coca cola #tastethefeeling https://t.co/8Km6vheNw2,3514,2223,2080
15/9/16 3:58,0,7.76E+17,0,Redeem 6 months sponsored subscription to iflix  #TasteTheFeeling #CocaColaHappyShopmate https://t.co/NNFaqOvjjZ,16242,1047,215
15/9/16 2:57,0,7.76E+17,0,"Actually... _Ùêá_ÙÔª#cocacolaph #cokeph #TastetheFeeling #TastetheLechon https://t.co/h9IEQrMq13",1334,90,165
15/9/16 2:57,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",10603,253,128
15/9/16 2:41,0,7.76E+17,2956,"RT @JayeHanash: @hellobangsie I like having Coke + Jollibee burger steak _Ù÷Ü after watching a concert. Concert date, game? #TasteTheFeeling",1916,146,78
15/9/16 2:35,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,10590,444,1608
15/9/16 2:25,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,7103,17,38
15/9/16 2:19,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,13743,120,384
15/9/16 1:47,0,7.76E+17,58,RT @CocaColaPH: Best bonding activity ang playing video games! Ano ang perfect meal with COKE for this moment? #TasteTheFeeling https://t.c‰Û_,16,17,93
15/9/16 1:41,0,7.76E+17,0,"Taste The Feeling#NCT127 #TasteTheFeeling https://t.co/TP2Qy7O3SM",8659,370,100
15/9/16 1:31,0,7.76E+17,88,RT @Cocacola_GH: Measuring your glass with a friend‰Ûªs to make sure you had your fair share of Coke. Lol #TastetheFeeling https://t.co/UV1OB‰Û_,44328,746,192
15/9/16 0:49,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,7845,50,273
15/9/16 0:09,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,3632,227,527
14/9/16 23:37,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,30738,455,389
14/9/16 23:10,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,11886,426,692
14/9/16 23:00,1,7.76E+17,0,Anytime is listen to #TasteTheFeeling @SympLySimi 's version..... I just wanna feel the love from within_Ù÷ã‰ù__ÙÔè,15962,789,652
14/9/16 22:00,1,7.76E+17,0,"#TasteTheFeeling of really good musicCuz it's music good enough to eatListen Here: https://t.co/n44r0QY28O https://t.co/ZmJGL9jOen",7146,1791,1483
14/9/16 21:42,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,446,66,439
14/9/16 21:35,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,476,134,108
14/9/16 21:33,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,5624,180,157
14/9/16 21:21,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,1874,44,252
14/9/16 20:37,0,7.76E+17,0,Coca Cola Unveils #TasteTheFeeling and CitroÌÇn UK Asks What Makes Your Day Perfect: åÊ This week o.. #socialmedia https://t.co/QV2f1poCB8,15764,1148,830
14/9/16 20:08,0,7.76E+17,71,"RT @TATAKLizQuen: #TasteTheFeeling today with @CocaColaPH!@lizasoberano @itsenriquegil#InternationalStarLiza https://t.co/WqWuT4ZtEM",32150,269,684
14/9/16 19:15,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,360,61,112
14/9/16 18:58,0,7.76E+17,0,Coca Cola Unveils #TasteTheFeeling and CitroÌÇn UK Asks What Makes Your Day Perfect: åÊ This week o.. #socialmedia https://t.co/dihmCfkuue,15764,1200,879
14/9/16 18:42,0,7.76E+17,11,RT @CocaColaPH: @BaiLona_Pexers Thanks for supporting Bailey for COKE! #TasteTheFeeling of refreshment while playing video games with your‰Û_,8573,34,133
14/9/16 18:23,0,7.76E+17,115,RT @CocaColaPH: Magkwentuhan about your fond memories while enjoying COKE &amp; this tasty plate of Arroz Valenciana. #TasteTheFeeling https://‰Û_,69072,170,521
14/9/16 18:01,1,7.76E+17,0,#NowPlaying Taste The Feeling (@Avicii Vs. Conrad Sewell) di Avicii #tastethefeeling ‰ªÇ https://t.co/HWGA3m5G7B,299,85,281
14/9/16 17:50,0,7.76E+17,9516,"RT @mainedcm: Guys, share the feels with @CocaColaPH on Feb 27 at Circuit Makati! Excited na? Share it with #TasteTheFeeling. https://t.co/‰Û_",3399,28,89
